Packet,Table,Field,Bitwidth
81,t_inspect_SEB,ext[0].data,8
81,t_inspect_SEB,ext[1].data,8
81,t_inspect_SEB,ext[2].data,8
81,t_inspect_SEB,ext[3].data,8
81,t_inspect_SEB,ext[4].data,8
81,t_inspect_SEB,ext[5].data,8
81,t_inspect_SEB,ext[6].data,8
81,t_inspect_SEB,ext[7].data,8
81,t_inspect_SEB,ext[8].data,8
81,t_inspect_SEB,ext[9].data,8
81,t_inspect_SEB,ext[10].data,8
81,t_inspect_SEB,ext[11].data,8
81,t_inspect_SEB,ext[12].data,8
81,t_inspect_SEB,ext[13].data,8
81,t_inspect_SEB,ext[14].data,8
81,t_inspect_SEB,ext[15].data,8
81,t_inspect_SEB,ext[16].data,8
81,t_inspect_SEB,ext[17].data,8
81,t_inspect_SEB,ext[18].data,8
81,t_inspect_SEB,ext[19].data,8
81,t1_extracted_exact,extracted.data,800
81,t2_metadata_exact,tmeta.data,256
82,t_inspect_SEB,ext[0].data,8
82,t_inspect_SEB,ext[1].data,8
82,t_inspect_SEB,ext[2].data,8
82,t_inspect_SEB,ext[3].data,8
82,t_inspect_SEB,ext[4].data,8
82,t_inspect_SEB,ext[5].data,8
82,t_inspect_SEB,ext[6].data,8
82,t_inspect_SEB,ext[7].data,8
82,t_inspect_SEB,ext[8].data,8
82,t_inspect_SEB,ext[9].data,8
82,t_inspect_SEB,ext[10].data,8
82,t_inspect_SEB,ext[11].data,8
82,t_inspect_SEB,ext[12].data,8
82,t_inspect_SEB,ext[13].data,8
82,t_inspect_SEB,ext[14].data,8
82,t_inspect_SEB,ext[15].data,8
82,t_inspect_SEB,ext[16].data,8
82,t_inspect_SEB,ext[17].data,8
82,t_inspect_SEB,ext[18].data,8
82,t_inspect_SEB,ext[19].data,8
82,t1_extracted_exact,extracted.data,800
82,t2_metadata_exact,tmeta.data,256
